,numquest,A1_sexe,A2_genre,A2_diff,A3_age_m,A3_age_y,age_groupe,A4_taille,A5_poids,A6_IMC,B01,B02,B03,B04/07,B05/08,Règles,C_AP,Dcons01,Dcons02,Dcons03,Dcons04,Dcons05,Dcons06,Dcons07,Dcons08,Dcons09,Dcons10,Dcons11,Dcons12,Dcons13,Dcons14,Dcons15,Dcons16,Dcons17,Dcons18,Dcons19,Dcons20,Dcons21,Dcons22,Dcons23,EIRI01,EIRI02,EIRI03,EIRI04,EIRI05,EIRI06,EIRI07,EIRI08,EIRI09,EIRI10,EIRI11,EIRI12,EIRI13,EIRI14,F_reseau,F02,F03,Greseau01,Greseau02,Greseau03,Greseau04,Greseau05,Greseau06,Greseau07,Greseau08,Greseau09,Greseau10,Greseau11,Hest01,Hest02,Hest03,Hest04,Hest05,Hest06,Hest07,Hest08,Hest09,Hest10,Hest11,Hest12,Hest13,Hest14,Hest15,Hest16,Hest17,Hest18,Hest19,Hest20,Hest21,Hest22,Hest23,Iobj01,Iobj02,Iobj03,Iobj04,Iobj05,Iobj06,Iobj07,Iobj08,IIpress01,IIpress02,IIpress03,IIpress04,IIpress05,IIpress06,IIpress07,IIpress08,IIpress09,IIpress10,IIpress11,IIpress12,Jcons01,Jcons02,Jcons03,Jcons04,Jcons05,Jcons06,Jcons07,Kinter01,Kinter02,Kinter03,Kinter04,Kinter05,Kinter06,Kinter07,Kinter08,Kinter09,Kinter10,Kinter11,Kinter12,Kinter13,Kinter14,Kinter15,Kinter16,Kinter17,Kinter18,Kinter19,Kinter20,Kinter21,L1tact01,L1tact02,L1tact03,L1tact04,L1tact05,L1tact06,L1tact07,L2tact01,L2tact02,L2tact03,L2tact04,L2tact05,L2tact06,L2tact07,L2tact08,L3mouv01,L3mouv02,L3mouv03,L3mouv04,L3mouv05,L3mouv06,L3mouv07,L3mouv08,L4act01,L4act02,L4act03,L4act04,L4act05,L4act06,L4act07,L4act08,L4act09,L4act10,M1_douleurs_nb,NLpairs01,NLpairs02,NLpairs03,NLpairs04,NLpairs05,NLpairs06,NLpairs07,NLpairs08,NLpairs09,NLpairs10,classe,filiere,diplome_parent,sit_eco,langue,main,departement
393,915,1,1,2,223,18,3,163.0,67.0,25.21735857578381,4,4,4,4,4,14,1,4,4,5,5,5,5,5,5,5,4,3,5,4,4,4,5,5,4,5,5,5,,2,5,5,5,5,5,5,5,3,5,5,4,5,2,4,1,5,2,5,5,5,5,4,4,4,4,2,2,4,2,,2,3,2,2,3,2,2,2,2,,3,2,2,2,2,2,3,,3,2,2,4,2,2,4,4,5,4,4,4,4,4,4,1,1,1,1,3,5,4,4,4,,5,2,4,,,2,4,2,4,2,2,2,3,2,3,2,4,,3,3,4,4,4,2,2,2,4,2,5,2,4,1,5,4,3,2,3,1,1,5,3,4,4,4,4,5,3,5,2,3,4,1,1,2,4,3,1,2,3,1,3,3,1,3,2,3,4,2,3,3,-2,,,5,Y,1,59
394,916,1,1,2,230,19,3,168.0,59.0,20.904195011337873,4,4,2,4,4,14,1,4,4,3,5,4,4,5,4,3,5,5,4,4,5,4,5,5,4,5,5,5,4,5,4,2,2,4,5,5,5,4,4,4,4,5,3,4,1,5,3,5,5,5,5,3,4,4,5,3,3,4,2,4,2,2,3,3,2,2,2,2,2,4,4,2,2,4,5,5,5,2,4,3,2,4,4,4,2,4,4,4,3,1,1,1,4,1,1,4,2,4,5,4,4,4,,4,4,4,,,3,4,4,5,1,2,3,2,2,4,4,5,5,5,5,4,4,4,2,3,3,4,2,5,3,3,3,5,4,3,4,2,2,2,5,2,5,4,5,3,4,2,5,3,2,3,3,2,4,4,3,1,3,3,0,4,1,4,4,2,3,4,3,2,4,-2,,,4,Y,1,59
395,917,1,1,2,227,18,3,167.0,65.0,23.306680053067517,4,4,4,4,4,11,1,1,5,2,5,3,5,5,5,3,5,5,4,2,5,5,5,5,2,5,2,4,2,5,5,5,5,4,4,3,5,4,5,4,2,4,2,2,1,5,2,5,5,5,5,3,3,5,3,4,2,3,3,3,2,1,4,3,2,3,2,2,3,3,4,3,3,2,4,3,3,3,2,3,2,4,5,5,5,4,5,5,4,2,2,4,4,4,4,4,4,4,4,5,5,2,2,1,2,5,,,2,3,2,4,2,2,1,5,5,5,2,4,4,4,3,2,1,1,3,3,2,4,5,1,2,2,3,4,1,1,4,2,2,2,2,3,3,4,5,4,5,3,5,5,4,5,5,1,2,4,5,2,3,3,0,,2,3,3,3,2,3,2,3,3,-2,,,4,Y,1,59
396,919,1,1,2,184,15,2,164.0,152.0,56.513979773944094,4,4,3,4,4,12,3,4,4,2,4,4,4,5,2,3,5,5,2,4,5,4,3,3,2,5,5,2,3,2,4,2,5,4,5,4,5,4,5,5,3,5,4,4,1,4,4,5,5,4,5,4,4,3,3,4,2,3,3,4,3,1,1,2,2,2,2,2,4,4,3,3,2,5,4,5,4,3,1,3,1,5,3,2,5,5,5,5,4,3,2,4,5,2,2,4,3,5,4,5,4,3,3,1,4,5,,,3,5,3,5,4,4,4,2,2,4,1,5,5,5,5,3,1,1,2,2,4,4,1,2,5,5,1,4,5,4,4,5,3,5,5,4,4,5,5,2,4,5,4,1,3,5,4,4,5,3,5,3,3,4,2,4,4,1,1,4,2,4,1,4,4,1,,,4,Y,1,59
397,922,2,2,2,207,17,2,184.0,70.0,20.6758034026465,4,3,4,3,4,,3,3,3,,4,4,4,5,3,4,3,3,4,3,4,4,3,4,2,4,4,4,2,3,2,4,4,4,3,3,5,5,5,4,2,3,2,2,1,5,1,5,4,2,5,3,2,2,4,2,2,1,2,3,2,4,3,3,4,3,3,3,5,3,4,2,2,4,2,5,5,2,2,3,2,4,2,2,4,3,3,5,3,1,2,1,3,2,2,1,2,1,4,2,2,3,2,3,3,4,,,2,3,3,4,2,3,2,4,5,3,3,3,3,4,4,4,3,2,3,2,3,4,4,3,5,5,3,3,4,4,5,3,2,4,3,3,5,4,5,5,5,4,4,5,2,5,3,4,3,4,3,1,4,3,0,1,3,2,,2,3,,2,,3,0,,,4,Y,1,59
398,923,2,2,2,251,20,3,173.0,75.0,25.05930702662969,4,4,4,3,4,,1,4,5,4,3,4,3,5,2,5,2,3,1,4,4,3,2,3,4,3,3,2,4,2,4,5,3,5,5,4,5,5,5,2,4,5,3,4,1,4,4,5,4,5,5,1,3,4,2,4,1,4,3,4,5,2,1,3,5,4,5,3,5,4,5,5,5,4,5,5,5,3,1,5,3,5,3,1,2,4,5,3,1,1,1,1,2,3,1,4,2,1,2,1,3,4,3,4,3,2,,,4,4,4,5,4,3,2,4,3,4,4,3,3,3,2,2,2,2,5,5,4,4,3,5,5,5,1,3,3,4,5,2,5,5,5,4,5,5,5,5,5,3,5,5,3,2,4,3,4,5,5,4,3,5,0,4,3,4,4,3,4,3,2,3,4,-4,sciences et techno,,4,Y,1,78
399,933,1,1,2,248,20,3,173.0,68.0,22.720438370810918,4,4,4,4,4,12,4,4,4,3,2,3,3,5,2,4,2,2,3,3,4,3,2,3,3,2,3,3,3,2,5,4,4,4,5,3,5,4,5,4,,4,3,3,1,1,1,2,1,1,1,1,1,4,3,2,1,1,3,3,4,3,2,3,4,4,4,4,5,3,4,4,4,5,4,5,5,3,4,4,4,3,3,2,2,2,2,2,4,1,1,2,3,1,1,2,2,1,4,1,1,4,4,4,3,3,,,3,4,3,4,3,2,2,5,3,4,4,3,4,4,4,3,3,3,5,5,5,4,5,3,4,3,2,3,1,4,3,2,4,4,5,2,5,5,5,4,4,5,5,3,3,3,2,2,3,4,3,4,4,3,0,,,,,,,,,,,-4,STAPS,,3,Y,1,49
400,934,1,1,2,135,11,1,147.0,50.0,23.138507103521682,,3,2,3,4,10,3,4,2,,3,5,4,5,5,2,3,,4,2,4,4,2,3,4,4,5,4,,1,4,3,4,2,4,3,4,5,4,2,2,2,1,2,1,5,3,5,4,4,5,3,2,3,1,3,1,3,4,,4,3,1,4,2,3,2,4,5,,3,3,4,,,,3,,3,4,,3,3,4,3,3,5,3,,1,1,1,1,1,1,2,1,1,3,3,2,1,3,1,4,4,,,1,4,1,4,3,2,3,2,2,2,1,1,2,2,2,1,2,2,4,4,,2,2,3,2,2,3,4,1,1,4,1,3,2,5,2,3,4,5,1,2,2,5,4,3,1,3,4,3,4,5,3,5,1,0,3,4,3,3,3,3,1,2,3,2,6,,,4,Y,1,13
401,938,1,1,2,176,14,2,154.0,44.0,18.55287569573284,4,4,3,4,4,13,3,2,2,2,4,4,2,3,3,3,1,3,5,1,4,2,5,3,2,2,4,5,,4,3,2,4,4,5,4,5,4,5,2,4,4,4,5,1,4,3,5,3,4,4,1,1,1,1,4,1,1,3,3,2,4,1,2,4,3,2,3,3,3,4,3,3,4,4,5,4,1,3,3,2,4,3,4,3,2,5,2,,1,1,4,3,1,1,3,2,2,5,5,2,3,2,1,1,3,,,1,5,1,2,1,1,1,5,4,5,4,2,1,3,1,1,1,1,2,1,4,1,3,1,2,2,1,5,2,2,3,1,3,4,5,3,2,5,2,4,4,5,5,2,3,4,4,1,3,4,2,1,3,1,1,4,3,3,4,3,4,4,4,4,4,3,,,4,Y,1,13
402,941,1,0,1,264,22,3,154.0,54.0,22.76943835385394,4,4,4,4,4,13,4,2,4,2,2,4,3,4,4,4,1,3,2,1,3,2,2,4,4,4,2,2,3,1,4,2,3,3,4,4,4,3,5,2,2,4,1,2,1,3,3,5,2,2,2,3,3,4,2,2,2,1,3,3,4,4,3,4,4,5,2,5,3,3,4,3,4,5,5,5,5,3,3,4,3,3,1,1,2,2,2,4,1,2,4,4,4,3,4,4,2,1,5,1,2,1,4,2,2,3,,,4,2,3,4,1,1,1,4,4,5,4,2,4,3,4,1,1,2,4,5,5,5,4,5,1,4,5,5,5,4,4,4,3,4,4,5,5,5,5,3,3,5,5,5,2,3,5,2,5,5,4,3,2,5,0,4,4,3,4,3,2,3,1,4,4,3,,,3,Y,0,49
